,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
0,LinReg,ratio,5,50,0.89,0.02,0.13,0.95,0,1,0.14,0.54,0.89,0.95,0.98,1,1,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
1,LinReg,ratio-diff,5,50,0.07,0.01,0.1,0.02,0,1,0,0,0.01,0.02,0.06,0.3,0.76,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
2,LinReg,ratio-signed,5,50,0.88,0.02,0.18,0.95,-1,1,-0.26,0.5,0.89,0.95,0.98,1,1,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
3,LinReg,ratio-diff-signed,5,50,0.05,0.01,0.06,0.02,-1,1,-0.42,0,0.01,0.02,0.05,0.24,0.63,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
4,LinReg,intersection_union_sample,5,50,0.51,0.01,0.46,0.78,0,1,0,0,0,0.78,0.96,0.99,1,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
5,LinReg,intersection_union_all,5,50,0.35,NA,0,0.35,0.34,0.36,0.34,0.34,0.34,0.35,0.35,0.35,0.36,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
6,LinReg,negative_incon,5,50,0.3,0.01,0.68,0.78,-0.5,1,-0.5,-0.5,-0.48,0.78,0.96,0.99,1,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
7,LinReg,positive_incon,5,50,114.19,0.22,135.61,69.35,0,993.04,1.45,5.81,31.43,69.35,140.24,403.45,688.02,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
8,LinReg,intersection_union_distance,5,50,75.98,0.49,143.41,6.38,0,993.04,0,0.34,2.32,6.38,87.84,403.45,688.02,78.11,0.11,2.34,0.02,11850.65,24.14,108.86,0.11,0.63,0
9,Lasso-H,ratio,5,50,0.89,0.02,0.13,0.95,0,1,0.14,0.54,0.89,0.95,0.98,1,1,78.1,0.13,2.34,0.02,11850.79,23.39,108.86,0.11,0.63,0
