,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
0,LinReg,ratio,5,50,0.79,0.04,0.16,0.87,0,1,0.05,0.25,0.73,0.87,0.95,1,1,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
1,LinReg,ratio-diff,5,50,0.14,0.03,0.13,0.07,0,1,0,0,0.03,0.07,0.16,0.6,0.9,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
2,LinReg,ratio-signed,5,50,0.74,0.05,0.27,0.87,-1,1,-0.72,-0.11,0.71,0.87,0.95,0.99,1,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
3,LinReg,ratio-diff-signed,5,50,0.08,0.03,0.07,0.06,-1,1,-0.78,-0.15,0.02,0.06,0.13,0.45,0.85,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
4,LinReg,intersection_union_sample,5,50,0.46,0.03,0.41,0.61,0,1,0,0,0,0.61,0.89,0.99,1,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
5,LinReg,intersection_union_all,5,50,0.33,NA,0.01,0.33,0.29,0.41,0.3,0.31,0.32,0.33,0.34,0.35,0.37,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
6,LinReg,negative_incon,5,50,0.29,0.03,0.61,0.61,-0.5,1,-0.5,-0.5,-0.45,0.61,0.89,0.99,1,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
7,LinReg,positive_incon,5,50,0.29,0,0.29,0.2,0,1.58,0,0.02,0.09,0.2,0.37,0.93,1.24,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
8,LinReg,intersection_union_distance,5,50,0.2,0.01,0.31,0.04,0,1.58,0,0,0.02,0.04,0.31,0.93,1.24,0.2,0,10030.2,237.05,0.07,0,0.26,0,0.72,0.01
9,Lasso-H,ratio,5,50,0.97,0.02,0.01,0.98,0.9,1,0.9,0.93,0.96,0.98,0.99,1,1,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
10,Lasso-H,ratio-diff,5,50,0.01,0.01,0,0.01,0,0.06,0,0,0,0.01,0.02,0.04,0.05,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
11,Lasso-H,ratio-signed,5,50,0.97,0.02,0.01,0.98,0.9,1,0.9,0.93,0.96,0.98,0.99,1,1,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
12,Lasso-H,ratio-diff-signed,5,50,0.01,0.01,0,0.01,0,0.06,0,0,0,0.01,0.02,0.04,0.05,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
13,Lasso-H,intersection_union_sample,5,50,0.6,0.02,0.47,0.94,0,1,0,0,0,0.94,0.98,1,1,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
14,Lasso-H,intersection_union_all,5,50,0.32,NA,0.01,0.32,0.3,0.35,0.31,0.31,0.31,0.32,0.33,0.33,0.35,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
15,Lasso-H,negative_incon,5,50,0.42,0.01,0.71,0.94,-0.5,1,-0.5,-0.5,-0.49,0.94,0.98,1,1,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
16,Lasso-H,positive_incon,5,50,0.7,0,0.43,0.37,0.35,1.3,0.35,0.35,0.36,0.37,1.25,1.27,1.29,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
17,Lasso-H,intersection_union_distance,5,50,0.48,0.01,0.61,0.02,0,1.3,0,0,0.01,0.02,1.25,1.27,1.29,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
18,Lasso,ratio,5,50,0.97,0.02,0.01,0.98,0.9,1,0.9,0.93,0.96,0.98,0.99,1,1,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
19,Lasso,ratio-diff,5,50,0.01,0.01,0,0.01,0,0.06,0,0,0,0.01,0.02,0.04,0.05,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
20,Lasso,ratio-signed,5,50,0.97,0.02,0.01,0.98,0.9,1,0.9,0.93,0.96,0.98,0.99,1,1,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
21,Lasso,ratio-diff-signed,5,50,0.01,0.01,0,0.01,0,0.06,0,0,0,0.01,0.02,0.04,0.05,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
22,Lasso,intersection_union_sample,5,50,0.6,0.02,0.47,0.94,0,1,0,0,0,0.94,0.98,1,1,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
23,Lasso,intersection_union_all,5,50,0.32,NA,0.01,0.32,0.3,0.35,0.31,0.31,0.31,0.32,0.33,0.33,0.35,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
24,Lasso,negative_incon,5,50,0.42,0.01,0.71,0.94,-0.5,1,-0.5,-0.5,-0.49,0.94,0.98,1,1,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
25,Lasso,positive_incon,5,50,0.7,0,0.43,0.37,0.35,1.3,0.35,0.35,0.36,0.37,1.25,1.27,1.29,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
26,Lasso,intersection_union_distance,5,50,0.48,0.01,0.61,0.02,0,1.3,0,0,0.01,0.02,1.25,1.27,1.29,0.47,0,23133.07,701.7,0.24,0,0.48,0,0,0
27,Ridge-H,ratio,5,50,0.83,0.04,0.15,0.9,0,1,0.09,0.32,0.78,0.9,0.96,1,1,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
28,Ridge-H,ratio-diff,5,50,0.11,0.03,0.12,0.05,0,1,0,0,0.02,0.05,0.12,0.51,0.84,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
29,Ridge-H,ratio-signed,5,50,0.79,0.05,0.24,0.9,-1,1,-0.63,0.13,0.77,0.9,0.96,1,1,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
30,Ridge-H,ratio-diff-signed,5,50,0.08,0.02,0.06,0.04,-1,1,-0.7,0,0.02,0.04,0.11,0.39,0.77,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
31,Ridge-H,intersection_union_sample,5,50,0.5,0.03,0.42,0.7,0,1,0,0,0,0.7,0.92,0.99,1,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
32,Ridge-H,intersection_union_all,5,50,0.34,NA,0.01,0.34,0.31,0.39,0.32,0.32,0.33,0.34,0.35,0.36,0.38,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
33,Ridge-H,negative_incon,5,50,0.32,0.03,0.62,0.7,-0.5,1,-0.5,-0.5,-0.46,0.7,0.92,0.99,1,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
34,Ridge-H,positive_incon,5,50,0.29,0,0.28,0.19,0,1.5,0,0.02,0.1,0.19,0.41,0.94,1.18,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
35,Ridge-H,intersection_union_distance,5,50,0.2,0.01,0.31,0.03,0,1.5,0,0,0.01,0.03,0.29,0.94,1.18,0.2,0,10090.82,247.6,0.06,0,0.25,0,0.73,0
36,Ridge,ratio,5,50,0.86,0.04,0.14,0.93,0,1,0.08,0.42,0.83,0.93,0.97,1,1,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
37,Ridge,ratio-diff,5,50,0.09,0.03,0.11,0.04,0,1,0,0,0.01,0.04,0.09,0.41,0.85,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
38,Ridge,ratio-signed,5,50,0.84,0.05,0.21,0.93,-1,1,-0.47,0.32,0.83,0.93,0.97,1,1,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
39,Ridge,ratio-diff-signed,5,50,0.06,0.02,0.06,0.03,-1,1,-0.64,0,0.01,0.03,0.08,0.31,0.71,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
40,Ridge,intersection_union_sample,5,50,0.52,0.03,0.43,0.77,0,1,0,0,0,0.77,0.94,0.99,1,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
41,Ridge,intersection_union_all,5,50,0.33,NA,0.01,0.33,0.29,0.37,0.3,0.31,0.32,0.33,0.33,0.35,0.36,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
42,Ridge,negative_incon,5,50,0.34,0.03,0.65,0.77,-0.5,1,-0.5,-0.5,-0.47,0.77,0.94,0.99,1,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
43,Ridge,positive_incon,5,50,0.31,0,0.31,0.18,0,1.46,0.01,0.02,0.1,0.18,0.43,0.99,1.2,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
44,Ridge,intersection_union_distance,5,50,0.22,0.01,0.35,0.03,0,1.46,0,0,0.01,0.03,0.25,0.99,1.2,0.21,0,9716.3,211,0.07,0,0.27,0,0.7,0
45.00,RF-H,ratio,5.00,50.00,0.64,0.07,0.19,0.73,0.00,1.00,0.00,0.00,0.38,0.73,1.00,1.00,1.00,0.10,0.01,"5,717.98",423.00,0.04,0.00,0.19,0.01,0.84,0.01
46.00,RF-H,ratio-diff,5.00,50.00,0.29,0.06,0.17,0.16,0.00,1.00,0.00,0.00,0.00,0.16,0.45,1.00,1.00,0.10,0.01,"5,717.98",423.00,0.04,0.00,0.19,0.01,0.84,0.01
47.00,RF-H,ratio-signed,5.00,50.00,0.64,0.07,0.19,0.73,0.00,1.00,0.00,0.00,0.38,0.73,1.00,1.00,1.00,0.10,0.01,"5,717.98",423.00,0.04,0.00,0.19,0.01,0.84,0.01
48.00,RF-H,ratio-diff-signed,5.00,50.00,0.16,0.03,0.12,0.06,0.00,0.96,0.00,0.00,0.00,0.06,0.27,0.62,0.82,0.10,0.01,"5,717.98",423.00,0.04,0.00,0.19,0.01,0.84,0.01
49.00,RF-H,intersection_union_sample,5.00,50.00,0.47,0.05,0.34,0.50,0.00,1.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,0.10,0.01,"5,717.98",423.00,0.04,0.00,0.19,0.01,0.84,0.01
50.00,RF-H,intersection_union_all,5.00,50.00,0.30,NA,0.03,0.30,0.22,0.44,0.24,0.25,0.28,0.30,0.32,0.34,0.40,0.10,0.01,"5,717.98",423.00,0.04,0.00,0.19,0.01,0.84,0.01
51,RF-H,negative_incon,5,50,0.37,0.05,0.48,0.5,-0.5,1,-0.5,-0.48,-0.14,0.5,1,1,1,0.1,0.01,5717.98,423,0.04,0,0.19,0.01,0.84,0.01
52,RF-H,positive_incon,5,50,0.13,0.01,0.25,0.03,0,1.92,0,0,0,0.03,0.14,0.66,1.32,0.1,0.01,5717.98,423,0.04,0,0.19,0.01,0.84,0.01
53.00,RF-H,intersection_union_distance,5.00,50.00,0.11,0.01,0.24,0.02,0.00,1.92,0.00,0.00,0.00,0.02,0.09,0.59,1.32,0.10,0.01,"5,717.98",423.00,0.04,0.00,0.19,0.01,0.84,0.01
54,RF,ratio,5,50,0.66,0.07,0.21,0.78,0,1,0,0,0.38,0.78,1,1,1,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
55,RF,ratio-diff,5,50,0.28,0.06,0.18,0.12,0,1,0,0,0,0.12,0.45,1,1,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
56,RF,ratio-signed,5,50,0.66,0.07,0.21,0.78,0,1,0,0,0.38,0.78,1,1,1,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
57,RF,ratio-diff-signed,5,50,0.14,0.03,0.13,0,0,0.97,0,0,0,0,0.25,0.6,0.8,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
58,RF,intersection_union_sample,5,50,0.53,0.05,0.34,0.6,0,1,0,0,0,0.6,1,1,1,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
59,RF,intersection_union_all,5,50,0.3,NA,0.03,0.29,0.21,0.49,0.23,0.24,0.27,0.29,0.31,0.35,0.41,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
60,RF,negative_incon,5,50,0.45,0.05,0.47,0.6,-0.5,1,-0.5,-0.46,0,0.6,1,1,1,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
61,RF,positive_incon,5,50,0.13,0.01,0.25,0.02,0,1.9,0,0,0,0.02,0.12,0.65,1.31,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
62,RF,intersection_union_distance,5,50,0.11,0.01,0.24,0.02,0,1.9,0,0,0,0.02,0.09,0.57,1.31,0.1,0.01,5637.8,511.4,0.04,0,0.2,0.01,0.84,0.02
63,Knn-H,ratio,5,50,0.9,0.03,0.15,1,0,1,0,0,1,1,1,1,1,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
64,Knn-H,ratio-diff,5,50,0.08,0.03,0.14,0,0,1,0,0,0,0,0,1,1,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
65,Knn-H,ratio-signed,5,50,0.9,0.03,0.15,1,0,1,0,0,1,1,1,1,1,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
66,Knn-H,ratio-diff-signed,5,50,0.02,0.01,0.04,0,0,0.6,0,0,0,0,0,0.17,0.35,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
67,Knn-H,intersection_union_sample,5,50,0.8,0.02,0.35,1,0,1,0,0,0.97,1,1,1,1,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
68,Knn-H,intersection_union_all,5,50,0.25,NA,0.03,0.25,0.16,0.35,0.18,0.2,0.22,0.25,0.27,0.29,0.32,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
69,Knn-H,negative_incon,5,50,0.74,0.02,0.47,1,-0.5,1,-0.5,-0.49,0.97,1,1,1,1,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
70,Knn-H,positive_incon,5,50,0.14,0.01,0.33,0,0,2,0,0,0,0,0.15,0.97,1.54,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
71,Knn-H,intersection_union_distance,5,50,0.11,0.01,0.31,0,0,2,0,0,0,0,0.01,0.85,1.54,0.09,0.01,4287.73,397.57,0.05,0,0.22,0.01,0.79,0.02
72,Knn,ratio,5,50,0.92,0.03,0.14,1,0,1,0,0,1,1,1,1,1,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
73,Knn,ratio-diff,5,50,0.07,0.02,0.13,0,0,1,0,0,0,0,0,1,1,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
74,Knn,ratio-signed,5,50,0.92,0.03,0.14,1,0,1,0,0,1,1,1,1,1,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
75,Knn,ratio-diff-signed,5,50,0.02,0.01,0.05,0,0,0.6,0,0,0,0,0,0.2,0.33,0.11,0.01,4470.24,361.7,0.06,0,0.25,0.01,0.73,0.02
