,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
0.00,LinReg,ratio,5.00,50.00,0.86,0.03,0.14,0.93,0.00,1.00,0.09,0.40,0.84,0.93,0.97,1.00,1.00,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
1.00,LinReg,ratio-diff,5.00,50.00,0.09,0.02,0.11,0.03,0.00,1.00,0.00,0.00,0.01,0.03,0.09,0.42,0.83,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
2.00,LinReg,ratio-signed,5.00,50.00,0.84,0.04,0.22,0.93,-1.00,1.00,-0.52,0.29,0.84,0.93,0.97,1.00,1.00,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
3.00,LinReg,ratio-diff-signed,5.00,50.00,0.06,0.02,0.06,0.03,-1.00,1.00,-0.64,0.00,0.01,0.03,0.08,0.32,0.72,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
4.00,LinReg,intersection_union_sample,5.00,50.00,0.42,0.02,0.44,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.93,0.99,1.00,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
5.00,LinReg,intersection_union_all,5.00,50.00,0.29,NA,0.01,0.29,0.27,0.31,0.27,0.28,0.28,0.29,0.29,0.30,0.30,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
6.00,LinReg,negative_incon,5.00,50.00,0.19,0.02,0.66,-0.19,-0.50,1.00,-0.50,-0.50,-0.48,-0.19,0.93,0.99,1.00,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
7.00,LinReg,positive_incon,5.00,50.00,16.65,0.08,20.40,11.33,0.00,326.73,0.23,0.90,5.25,11.33,21.69,47.53,90.45,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
8.00,LinReg,intersection_union_distance,5.00,50.00,12.14,0.17,21.67,2.04,0.00,326.73,0.00,0.08,0.58,2.04,17.55,47.53,90.45,10.94,0.04,0.06,0.00,235.54,1.57,15.35,0.05,0.64,0.00
9.00,Lasso-H,ratio,5.00,50.00,0.87,0.03,0.14,0.94,0.00,1.00,0.12,0.45,0.85,0.94,0.98,1.00,1.00,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
10.00,Lasso-H,ratio-diff,5.00,50.00,0.08,0.02,0.11,0.03,0.00,1.00,0.00,0.00,0.01,0.03,0.08,0.38,0.79,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
11.00,Lasso-H,ratio-signed,5.00,50.00,0.85,0.03,0.21,0.94,-1.00,1.00,-0.51,0.35,0.85,0.94,0.98,1.00,1.00,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
12.00,Lasso-H,ratio-diff-signed,5.00,50.00,0.06,0.01,0.06,0.03,-1.00,1.00,-0.58,0.00,0.01,0.03,0.07,0.30,0.68,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
13.00,Lasso-H,intersection_union_sample,5.00,50.00,0.43,0.02,0.45,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.94,0.99,1.00,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
14.00,Lasso-H,intersection_union_all,5.00,50.00,0.29,NA,0.01,0.29,0.27,0.31,0.28,0.28,0.28,0.29,0.29,0.30,0.30,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
15.00,Lasso-H,negative_incon,5.00,50.00,0.19,0.01,0.67,-0.21,-0.50,1.00,-0.50,-0.50,-0.48,-0.21,0.94,0.99,1.00,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
16.00,Lasso-H,positive_incon,5.00,50.00,16.70,0.08,20.33,11.38,0.00,320.13,0.24,0.89,5.29,11.38,21.96,47.83,90.22,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
17.00,Lasso-H,intersection_union_distance,5.00,50.00,12.12,0.16,21.63,1.87,0.00,320.13,0.00,0.08,0.52,1.87,17.77,47.83,90.22,10.96,0.04,0.06,0.00,235.06,1.51,15.33,0.05,0.64,0.00
18.00,Lasso,ratio,5.00,50.00,0.89,0.02,0.13,0.95,0.00,1.00,0.15,0.53,0.88,0.95,0.98,1.00,1.00,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
19.00,Lasso,ratio-diff,5.00,50.00,0.07,0.02,0.10,0.03,0.00,1.00,0.00,0.00,0.01,0.03,0.06,0.31,0.74,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
20.00,Lasso,ratio-signed,5.00,50.00,0.88,0.03,0.19,0.95,-1.00,1.00,-0.35,0.48,0.88,0.95,0.98,1.00,1.00,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
21.00,Lasso,ratio-diff-signed,5.00,50.00,0.05,0.01,0.05,0.02,-1.00,1.00,-0.48,0.00,0.01,0.02,0.06,0.24,0.62,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
22.00,Lasso,intersection_union_sample,5.00,50.00,0.43,0.01,0.45,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.95,0.99,1.00,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
23.00,Lasso,intersection_union_all,5.00,50.00,0.29,NA,0.00,0.29,0.28,0.31,0.28,0.28,0.29,0.29,0.29,0.30,0.30,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
24.00,Lasso,negative_incon,5.00,50.00,0.19,0.01,0.68,-0.24,-0.50,1.00,-0.50,-0.50,-0.49,-0.24,0.95,0.99,1.00,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
25.00,Lasso,positive_incon,5.00,50.00,22.29,0.09,21.83,15.78,0.00,169.79,0.36,1.33,7.01,15.78,30.33,64.62,101.68,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
26.00,Lasso,intersection_union_distance,5.00,50.00,16.10,0.17,23.87,2.30,0.00,169.79,0.00,0.09,0.61,2.30,24.19,63.89,101.68,14.61,0.05,0.08,0.00,357.99,1.97,18.92,0.05,0.45,0.00
27.00,Ridge-H,ratio,5.00,50.00,0.86,0.03,0.15,0.93,0.00,1.00,0.09,0.40,0.84,0.93,0.97,1.00,1.00,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
28.00,Ridge-H,ratio-diff,5.00,50.00,0.09,0.02,0.11,0.03,0.00,1.00,0.00,0.00,0.01,0.03,0.09,0.42,0.83,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
29.00,Ridge-H,ratio-signed,5.00,50.00,0.84,0.04,0.22,0.93,-1.00,1.00,-0.52,0.29,0.84,0.93,0.97,1.00,1.00,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
30.00,Ridge-H,ratio-diff-signed,5.00,50.00,0.06,0.01,0.06,0.03,-1.00,1.00,-0.63,0.00,0.01,0.03,0.08,0.33,0.73,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
31.00,Ridge-H,intersection_union_sample,5.00,50.00,0.42,0.02,0.44,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.93,0.99,1.00,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
32.00,Ridge-H,intersection_union_all,5.00,50.00,0.29,NA,0.01,0.29,0.27,0.31,0.27,0.28,0.28,0.29,0.29,0.30,0.30,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
33.00,Ridge-H,negative_incon,5.00,50.00,0.19,0.02,0.66,-0.19,-0.50,1.00,-0.50,-0.50,-0.48,-0.19,0.93,0.99,1.00,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
34.00,Ridge-H,positive_incon,5.00,50.00,16.65,0.08,20.39,11.34,0.00,326.57,0.23,0.90,5.25,11.34,21.73,47.55,90.44,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
35.00,Ridge-H,intersection_union_distance,5.00,50.00,12.14,0.17,21.65,2.05,0.00,326.57,0.00,0.09,0.58,2.05,17.57,47.55,90.44,10.94,0.04,0.06,0.00,235.43,1.54,15.34,0.05,0.64,0.00
36.00,Ridge,ratio,5.00,50.00,0.90,0.02,0.12,0.96,0.00,1.00,0.16,0.58,0.90,0.96,0.98,1.00,1.00,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
37.00,Ridge,ratio-diff,5.00,50.00,0.06,0.02,0.09,0.02,0.00,1.00,0.00,0.00,0.01,0.02,0.05,0.27,0.72,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
38.00,Ridge,ratio-signed,5.00,50.00,0.89,0.03,0.18,0.96,-1.00,1.00,-0.26,0.54,0.90,0.96,0.98,1.00,1.00,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
39.00,Ridge,ratio-diff-signed,5.00,50.00,0.04,0.01,0.05,0.02,-1.00,1.00,-0.43,0.00,0.01,0.02,0.05,0.21,0.58,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
40.00,Ridge,intersection_union_sample,5.00,50.00,0.43,0.01,0.46,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.95,0.99,1.00,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
41.00,Ridge,intersection_union_all,5.00,50.00,0.29,NA,0.01,0.29,0.28,0.31,0.28,0.28,0.29,0.29,0.29,0.30,0.30,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
42.00,Ridge,negative_incon,5.00,50.00,0.19,0.01,0.69,-0.33,-0.50,1.00,-0.50,-0.50,-0.49,-0.33,0.95,0.99,1.00,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
43.00,Ridge,positive_incon,5.00,50.00,23.02,0.10,21.88,16.46,0.00,146.39,0.34,1.33,7.46,16.46,31.15,69.11,101.51,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
44.00,Ridge,intersection_union_distance,5.00,50.00,16.54,0.20,24.07,2.32,0.00,146.39,0.00,0.08,0.55,2.32,25.68,68.57,101.51,15.07,0.03,0.09,0.00,374.63,1.41,19.36,0.04,0.43,0.00
45.00,RF-H,ratio,5.00,50.00,0.75,0.04,0.16,0.83,0.00,1.00,0.05,0.20,0.64,0.83,0.93,0.99,1.00,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
46.00,RF-H,ratio-diff,5.00,50.00,0.17,0.03,0.13,0.09,0.00,1.00,0.00,0.00,0.04,0.09,0.22,0.67,0.91,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
47.00,RF-H,ratio-signed,5.00,50.00,0.70,0.05,0.25,0.83,-1.00,1.00,-0.71,-0.08,0.63,0.83,0.93,0.99,1.00,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
48.00,RF-H,ratio-diff-signed,5.00,50.00,0.11,0.02,0.08,0.08,-1.00,1.00,-0.82,-0.15,0.03,0.08,0.18,0.55,0.86,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
49.00,RF-H,intersection_union_sample,5.00,50.00,0.36,0.02,0.38,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.82,0.98,1.00,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
50.00,RF-H,intersection_union_all,5.00,50.00,0.26,NA,0.01,0.26,0.25,0.31,0.25,0.25,0.25,0.26,0.26,0.27,0.30,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
51.00,RF-H,negative_incon,5.00,50.00,0.14,0.02,0.58,-0.14,-0.50,1.00,-0.50,-0.49,-0.46,-0.14,0.82,0.98,1.00,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
52.00,RF-H,positive_incon,5.00,50.00,20.54,0.16,20.51,13.72,0.00,152.92,0.38,1.53,5.95,13.72,28.15,61.03,97.73,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
53.00,RF-H,intersection_union_distance,5.00,50.00,16.08,0.28,21.78,5.16,0.00,152.92,0.00,0.28,1.89,5.16,24.06,60.35,97.73,13.66,0.10,0.08,0.00,316.24,4.43,17.78,0.12,0.52,0.01
54.00,RF,ratio,5.00,50.00,0.72,0.05,0.16,0.81,0.00,1.00,0.04,0.17,0.60,0.81,0.92,0.99,1.00,13.67,0.13,0.08,0.00,319.07,5.53,17.86,0.15,0.51,0.01
55.00,RF,ratio-diff,5.00,50.00,0.19,0.03,0.14,0.11,0.00,1.00,0.00,0.00,0.04,0.11,0.25,0.71,0.93,13.67,0.13,0.08,0.00,319.07,5.53,17.86,0.15,0.51,0.01
56.00,RF,ratio-signed,5.00,50.00,0.67,0.06,0.26,0.80,-1.00,1.00,-0.75,-0.19,0.57,0.80,0.92,0.99,1.00,13.67,0.13,0.08,0.00,319.07,5.53,17.86,0.15,0.51,0.01
57.00,RF,ratio-diff-signed,5.00,50.00,0.12,0.02,0.08,0.09,-1.00,1.00,-0.86,-0.33,0.03,0.09,0.20,0.59,0.87,13.67,0.13,0.08,0.00,319.07,5.53,17.86,0.15,0.51,0.01
58.00,RF,intersection_union_sample,5.00,50.00,0.34,0.03,0.37,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.79,0.97,1.00,13.67,0.13,0.08,0.00,319.07,5.53,17.86,0.15,0.51,0.01
