,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
0.00,LinReg,ratio,5.00,50.00,0.74,0.17,0.05,0.83,0.04,0.19,0.63,0.83,0.93,0.99,1.00,1.00,0.00,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
1.00,LinReg,ratio-diff,5.00,50.00,0.18,0.14,0.04,0.09,0.00,0.00,0.04,0.09,0.23,0.69,0.93,1.00,0.00,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
2.00,LinReg,ratio-signed,5.00,50.00,0.68,0.28,0.07,0.83,-0.78,-0.23,0.60,0.83,0.93,0.99,1.00,1.00,-1.00,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
3.00,LinReg,ratio-diff-signed,5.00,50.00,0.10,0.07,0.03,0.07,-0.85,-0.33,0.02,0.07,0.17,0.55,0.85,1.00,-1.00,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
4.00,LinReg,intersection_union_sample,5.00,50.00,0.43,0.39,0.04,0.47,0.00,0.00,0.00,0.47,0.86,0.98,1.00,1.00,0.00,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
5.00,LinReg,intersection_union_all,5.00,50.00,0.26,0.02,NA,0.26,0.22,0.24,0.25,0.26,0.27,0.29,0.31,0.37,0.21,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
6.00,LinReg,negative_incon,5.00,50.00,0.26,0.58,0.04,0.47,-0.50,-0.49,-0.44,0.47,0.86,0.98,1.00,1.00,-0.50,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
7.00,LinReg,positive_incon,5.00,50.00,4.84,7.46,0.08,2.48,0.07,0.26,0.99,2.48,5.35,16.06,39.31,54.41,0.00,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
8.00,LinReg,intersection_union_distance,5.00,50.00,3.77,7.73,0.14,0.70,0.00,0.04,0.28,0.70,3.84,16.06,39.31,54.41,0.00,3.22,0.09,0.17,0.01,24.70,1.25,4.97,0.12,0.66,0.02
9.00,Lasso-H,ratio,5.00,50.00,0.79,0.16,0.06,0.88,0.06,0.24,0.72,0.88,0.95,0.99,1.00,1.00,0.00,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
10.00,Lasso-H,ratio-diff,5.00,50.00,0.14,0.13,0.05,0.06,0.00,0.00,0.03,0.06,0.16,0.61,0.89,1.00,0.00,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
11.00,Lasso-H,ratio-signed,5.00,50.00,0.75,0.25,0.09,0.88,-0.71,-0.06,0.71,0.88,0.95,0.99,1.00,1.00,-1.00,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
12.00,Lasso-H,ratio-diff-signed,5.00,50.00,0.09,0.07,0.03,0.05,-0.82,-0.09,0.02,0.05,0.13,0.46,0.82,1.00,-1.00,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
13.00,Lasso-H,intersection_union_sample,5.00,50.00,0.48,0.40,0.06,0.62,0.00,0.00,0.00,0.62,0.91,0.99,1.00,1.00,0.00,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
14.00,Lasso-H,intersection_union_all,5.00,50.00,0.27,0.02,NA,0.27,0.23,0.24,0.26,0.27,0.29,0.30,0.31,0.36,0.22,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
15.00,Lasso-H,negative_incon,5.00,50.00,0.31,0.60,0.06,0.62,-0.50,-0.49,-0.45,0.62,0.91,0.99,1.00,1.00,-0.50,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
16.00,Lasso-H,positive_incon,5.00,50.00,5.22,8.27,0.05,2.57,0.06,0.28,1.05,2.57,6.04,23.90,46.38,61.14,0.00,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
17.00,Lasso-H,intersection_union_distance,5.00,50.00,3.95,8.58,0.15,0.56,0.00,0.03,0.21,0.56,3.95,23.90,46.38,61.14,0.00,3.46,0.05,0.18,0.00,29.56,1.01,5.44,0.09,0.60,0.01
18.00,Lasso,ratio,5.00,50.00,0.81,0.14,0.06,0.89,0.07,0.34,0.75,0.89,0.95,0.99,1.00,1.00,0.00,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
19.00,Lasso,ratio-diff,5.00,50.00,0.12,0.11,0.04,0.06,0.00,0.00,0.02,0.06,0.14,0.49,0.87,1.00,0.00,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
20.00,Lasso,ratio-signed,5.00,50.00,0.80,0.18,0.07,0.89,-0.32,0.28,0.75,0.89,0.95,0.99,1.00,1.00,-1.00,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
21.00,Lasso,ratio-diff-signed,5.00,50.00,0.10,0.07,0.03,0.05,-0.63,0.00,0.02,0.05,0.13,0.42,0.77,1.00,-1.00,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
22.00,Lasso,intersection_union_sample,5.00,50.00,0.51,0.41,0.05,0.71,0.00,0.00,0.00,0.71,0.92,0.99,1.00,1.00,0.00,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
23.00,Lasso,intersection_union_all,5.00,50.00,0.28,0.02,NA,0.28,0.24,0.25,0.27,0.28,0.30,0.31,0.32,0.35,0.23,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
24.00,Lasso,negative_incon,5.00,50.00,0.35,0.61,0.05,0.71,-0.50,-0.49,-0.45,0.71,0.92,0.99,1.00,1.00,-0.50,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
25.00,Lasso,positive_incon,5.00,50.00,5.19,7.93,0.05,2.61,0.08,0.36,1.26,2.61,5.43,25.75,35.31,57.35,0.00,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
26.00,Lasso,intersection_union_distance,5.00,50.00,3.87,8.29,0.13,0.51,0.00,0.03,0.20,0.51,3.92,25.75,35.31,57.35,0.00,3.46,0.06,0.18,0.00,27.72,0.42,5.26,0.04,0.62,0.01
27.00,Ridge-H,ratio,5.00,50.00,0.75,0.17,0.05,0.84,0.04,0.19,0.64,0.84,0.94,0.99,1.00,1.00,0.00,3.21,0.08,0.17,0.01,24.84,1.17,4.98,0.12,0.66,0.02
28.00,Ridge-H,ratio-diff,5.00,50.00,0.17,0.14,0.04,0.09,0.00,0.00,0.03,0.09,0.22,0.68,0.92,1.00,0.00,3.21,0.08,0.17,0.01,24.84,1.17,4.98,0.12,0.66,0.02
29.00,Ridge-H,ratio-signed,5.00,50.00,0.70,0.27,0.07,0.84,-0.77,-0.17,0.62,0.84,0.93,0.99,1.00,1.00,-1.00,3.21,0.08,0.17,0.01,24.84,1.17,4.98,0.12,0.66,0.02
30.00,Ridge-H,ratio-diff-signed,5.00,50.00,0.10,0.07,0.03,0.07,-0.84,-0.24,0.02,0.07,0.17,0.53,0.88,1.00,-1.00,3.21,0.08,0.17,0.01,24.84,1.17,4.98,0.12,0.66,0.02
31.00,Ridge-H,intersection_union_sample,5.00,50.00,0.45,0.39,0.04,0.52,0.00,0.00,0.00,0.52,0.87,0.98,1.00,1.00,0.00,3.21,0.08,0.17,0.01,24.84,1.17,4.98,0.12,0.66,0.02
32.00,Ridge-H,intersection_union_all,5.00,50.00,0.26,0.02,NA,0.26,0.22,0.24,0.25,0.26,0.27,0.29,0.31,0.37,0.21,3.21,0.08,0.17,0.01,24.84,1.17,4.98,0.12,0.66,0.02
33.00,Ridge-H,negative_incon,5.00,50.00,0.28,0.58,0.04,0.52,-0.50,-0.49,-0.44,0.52,0.87,0.98,1.00,1.00,-0.50,3.21,0.08,0.17,0.01,24.84,1.17,4.98,0.12,0.66,0.02
34.00,Ridge-H,positive_incon,5.00,50.00,4.82,7.56,0.08,2.51,0.05,0.25,0.99,2.51,5.19,17.34,39.29,55.01,0.00,3.21,0.08,0.17,0.01,24.84,1.17,4.98,0.12,0.66,0.02
