,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd,Abs_Err_Std,Abs_Err_Std_sd
0.00,LinReg,ratio,5.00,5.00,0.69,0.16,0.15,0.75,0.01,0.09,0.55,0.75,0.94,1.00,1.00,1.00,0.00,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
1.00,LinReg,ratio-diff,5.00,5.00,0.22,0.14,0.11,0.15,0.00,0.00,0.03,0.15,0.29,0.83,0.99,1.00,0.00,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
2.00,LinReg,ratio-signed,5.00,5.00,0.63,0.24,0.18,0.74,-0.65,-0.15,0.51,0.74,0.94,1.00,1.00,1.00,-1.00,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
3.00,LinReg,ratio-diff-signed,5.00,5.00,0.14,0.17,0.08,0.10,-0.86,-0.28,0.00,0.10,0.26,0.72,0.99,1.00,-0.90,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
4.00,LinReg,intersection_union_sample,5.00,5.00,0.29,0.34,0.08,0.00,0.00,0.00,0.00,0.00,0.67,1.00,1.00,1.00,0.00,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
5.00,LinReg,intersection_union_all,5.00,5.00,0.17,0.03,NA,0.17,0.14,0.14,0.16,0.17,0.18,0.23,0.26,0.26,0.14,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
6.00,LinReg,negative_incon,5.00,5.00,0.06,0.53,0.07,-0.24,-0.50,-0.50,-0.44,-0.24,0.67,1.00,1.00,1.00,-0.50,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
7.00,LinReg,positive_incon,5.00,5.00,2.93,3.18,0.17,1.81,0.00,0.23,0.90,1.81,3.57,8.70,15.62,16.51,0.00,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
8.00,LinReg,intersection_union_distance,5.00,5.00,2.59,3.29,0.21,1.42,0.00,0.00,0.40,1.42,3.38,8.70,15.62,16.51,0.00,1.83,0.11,0.10,0.01,6.29,0.47,2.51,0.09,0.73,0.02,1.74,0.05
9.00,Lasso-H,ratio,5.00,5.00,0.75,0.15,0.13,0.83,0.03,0.13,0.65,0.83,0.96,1.00,1.00,1.00,0.00,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
10.00,Lasso-H,ratio-diff,5.00,5.00,0.17,0.14,0.09,0.09,0.00,0.00,0.02,0.09,0.21,0.77,0.94,0.99,0.00,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
11.00,Lasso-H,ratio-signed,5.00,5.00,0.69,0.28,0.17,0.83,-0.75,-0.23,0.63,0.83,0.96,1.00,1.00,1.00,-0.92,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
12.00,Lasso-H,ratio-diff-signed,5.00,5.00,0.08,0.13,0.05,0.07,-0.86,-0.46,0.00,0.07,0.16,0.50,0.88,0.94,-0.99,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
13.00,Lasso-H,intersection_union_sample,5.00,5.00,0.42,0.40,0.08,0.34,0.00,0.00,0.00,0.34,0.89,1.00,1.00,1.00,0.00,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
14.00,Lasso-H,intersection_union_all,5.00,5.00,0.38,0.03,NA,0.37,0.33,0.33,0.36,0.37,0.38,0.45,0.45,0.45,0.33,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
15.00,Lasso-H,negative_incon,5.00,5.00,0.24,0.59,0.07,0.34,-0.50,-0.50,-0.43,0.34,0.89,1.00,1.00,1.00,-0.50,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
16.00,Lasso-H,positive_incon,5.00,5.00,2.66,2.85,0.05,1.76,0.07,0.14,0.66,1.76,3.57,10.43,12.80,14.37,0.01,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
17.00,Lasso-H,intersection_union_distance,5.00,5.00,1.77,2.93,0.12,0.54,0.00,0.00,0.20,0.54,2.36,10.43,12.80,14.37,0.00,1.94,0.08,0.10,0.00,6.96,0.78,2.63,0.15,0.70,0.03,1.81,0.15
18.00,Ridge-H,ratio,5.00,5.00,0.69,0.17,0.14,0.78,0.04,0.13,0.48,0.78,0.95,1.00,1.00,1.00,0.02,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
19.00,Ridge-H,ratio-diff,5.00,5.00,0.22,0.15,0.11,0.12,0.00,0.00,0.02,0.12,0.36,0.77,0.92,0.97,0.00,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
20.00,Ridge-H,ratio-signed,5.00,5.00,0.56,0.32,0.21,0.78,-0.87,-0.47,0.30,0.78,0.95,1.00,1.00,1.00,-0.96,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
21.00,Ridge-H,ratio-diff-signed,5.00,5.00,0.08,0.15,0.06,0.06,-0.83,-0.57,0.00,0.06,0.19,0.70,0.92,0.97,-0.92,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
22.00,Ridge-H,intersection_union_sample,5.00,5.00,0.28,0.35,0.08,0.00,0.00,0.00,0.00,0.00,0.75,1.00,1.00,1.00,0.00,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
23.00,Ridge-H,intersection_union_all,5.00,5.00,0.19,0.02,NA,0.19,0.17,0.17,0.18,0.19,0.19,0.25,0.27,0.27,0.17,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
24.00,Ridge-H,negative_incon,5.00,5.00,0.04,0.52,0.07,-0.25,-0.50,-0.50,-0.45,-0.25,0.75,1.00,1.00,1.00,-0.50,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
25.00,Ridge-H,positive_incon,5.00,5.00,2.58,3.20,0.11,1.37,0.05,0.12,0.60,1.37,3.08,9.76,14.33,15.10,0.02,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
26.00,Ridge-H,intersection_union_distance,5.00,5.00,2.20,3.33,0.13,0.75,0.00,0.00,0.27,0.75,1.92,9.76,14.33,15.10,0.00,1.62,0.06,0.09,0.00,5.40,0.18,2.32,0.04,0.77,0.01,1.70,0.03
27.00,RF-H,ratio,5.00,5.00,0.63,0.17,0.17,0.69,0.00,0.04,0.37,0.69,0.96,1.00,1.00,1.00,0.00,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
28.00,RF-H,ratio-diff,5.00,5.00,0.29,0.16,0.14,0.19,0.00,0.00,0.02,0.19,0.46,0.92,1.00,1.00,0.00,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
29.00,RF-H,ratio-signed,5.00,5.00,0.55,0.26,0.21,0.68,-0.80,-0.38,0.27,0.68,0.96,1.00,1.00,1.00,-0.93,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
30.00,RF-H,ratio-diff-signed,5.00,5.00,0.16,0.15,0.08,0.10,-0.92,-0.57,0.00,0.10,0.35,0.84,0.99,1.00,-1.00,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
31.00,RF-H,intersection_union_sample,5.00,5.00,0.31,0.32,0.10,0.00,0.00,0.00,0.00,0.00,0.70,1.00,1.00,1.00,0.00,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
32.00,RF-H,intersection_union_all,5.00,5.00,0.20,0.04,NA,0.20,0.15,0.15,0.19,0.20,0.21,0.30,0.34,0.34,0.15,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
33.00,RF-H,negative_incon,5.00,5.00,0.12,0.48,0.08,-0.04,-0.50,-0.50,-0.41,-0.04,0.70,1.00,1.00,1.00,-0.50,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
34.00,RF-H,positive_incon,5.00,5.00,1.98,2.15,0.14,1.26,0.00,0.08,0.62,1.26,2.42,9.14,10.21,10.69,0.00,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
35.00,RF-H,intersection_union_distance,5.00,5.00,1.74,2.23,0.20,0.95,0.00,0.00,0.29,0.95,2.15,9.14,10.21,10.69,0.00,1.32,0.16,0.07,0.01,3.22,0.64,1.79,0.19,0.86,0.03,1.23,0.12
36.00,Knn-H,ratio,5.00,5.00,0.70,0.16,0.14,0.80,0.01,0.05,0.45,0.80,1.00,1.00,1.00,1.00,0.00,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
37.00,Knn-H,ratio-diff,5.00,5.00,0.24,0.16,0.11,0.11,0.00,0.00,0.00,0.11,0.38,0.90,0.99,1.00,0.00,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
38.00,Knn-H,ratio-signed,5.00,5.00,0.59,0.28,0.20,0.77,-0.81,-0.53,0.30,0.77,1.00,1.00,1.00,1.00,-0.87,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
39.00,Knn-H,ratio-diff-signed,5.00,5.00,0.03,0.22,0.05,0.00,-0.98,-0.84,0.00,0.00,0.18,0.69,0.90,1.00,-0.99,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
40.00,Knn-H,intersection_union_sample,5.00,5.00,0.33,0.33,0.10,0.00,0.00,0.00,0.00,0.00,0.74,1.00,1.00,1.00,0.00,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
41.00,Knn-H,intersection_union_all,5.00,5.00,0.21,0.06,NA,0.19,0.16,0.16,0.19,0.19,0.22,0.36,0.40,0.40,0.16,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
42.00,Knn-H,negative_incon,5.00,5.00,0.12,0.50,0.11,-0.09,-0.50,-0.50,-0.46,-0.09,0.74,1.00,1.00,1.00,-0.50,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
43.00,Knn-H,positive_incon,5.00,5.00,2.45,2.43,0.13,1.40,0.03,0.13,0.83,1.40,3.20,7.94,13.22,20.36,0.01,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
44.00,Knn-H,intersection_union_distance,5.00,5.00,2.10,2.55,0.25,0.94,0.00,0.00,0.26,0.94,2.80,7.94,13.22,20.36,0.00,1.62,0.11,0.08,0.00,5.04,1.18,2.23,0.26,0.78,0.05,1.55,0.28
