,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
0.00,LinReg,ratio,5.00,50.00,0.93,0.02,0.09,0.97,0.00,1.00,0.35,0.74,0.93,0.97,0.99,1.00,1.00,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
1.00,LinReg,ratio-diff,5.00,50.00,0.04,0.01,0.07,0.02,0.00,1.00,0.00,0.00,0.01,0.02,0.04,0.15,0.48,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
2.00,LinReg,ratio-signed,5.00,50.00,0.93,0.02,0.11,0.97,-1.00,1.00,0.29,0.74,0.93,0.97,0.99,1.00,1.00,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
3.00,LinReg,ratio-diff-signed,5.00,50.00,0.04,0.01,0.04,0.02,-1.00,1.00,0.00,0.00,0.01,0.02,0.04,0.14,0.40,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
4.00,LinReg,intersection_union_sample,5.00,50.00,0.45,0.01,0.46,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.95,0.99,1.00,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
5.00,LinReg,intersection_union_all,5.00,50.00,0.23,NA,0.00,0.23,0.22,0.25,0.22,0.22,0.23,0.23,0.23,0.24,0.24,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
6.00,LinReg,negative_incon,5.00,50.00,0.21,0.01,0.70,-0.28,-0.50,1.00,-0.50,-0.50,-0.49,-0.28,0.95,0.99,1.00,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
7.00,LinReg,positive_incon,5.00,50.00,4.08,0.03,3.82,2.88,0.00,26.85,0.10,0.33,1.31,2.88,5.57,13.77,15.53,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
8.00,LinReg,intersection_union_distance,5.00,50.00,3.18,0.04,4.24,0.33,0.00,26.85,0.00,0.01,0.08,0.33,5.51,13.68,15.40,2.54,0.03,0.14,0.00,10.40,0.21,3.22,0.03,0.82,0.00
9.00,Lasso-H,ratio,5.00,50.00,0.97,0.01,0.06,0.99,0.00,1.00,0.62,0.90,0.97,0.99,0.99,1.00,1.00,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
10.00,Lasso-H,ratio-diff,5.00,50.00,0.02,0.01,0.04,0.01,0.00,1.00,0.00,0.00,0.00,0.01,0.02,0.05,0.24,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
11.00,Lasso-H,ratio-signed,5.00,50.00,0.97,0.01,0.08,0.99,-1.00,1.00,0.60,0.90,0.97,0.99,0.99,1.00,1.00,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
12.00,Lasso-H,ratio-diff-signed,5.00,50.00,0.02,0.01,0.03,0.01,-1.00,1.00,0.00,0.00,0.00,0.01,0.02,0.05,0.21,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
13.00,Lasso-H,intersection_union_sample,5.00,50.00,0.56,0.01,0.48,0.94,0.00,1.00,0.00,0.00,0.00,0.94,0.98,1.00,1.00,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
14.00,Lasso-H,intersection_union_all,5.00,50.00,0.33,NA,0.00,0.33,0.31,0.34,0.32,0.32,0.32,0.33,0.33,0.33,0.33,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
15.00,Lasso-H,negative_incon,5.00,50.00,0.35,0.01,0.72,0.94,-0.50,1.00,-0.50,-0.50,-0.50,0.94,0.98,1.00,1.00,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
16.00,Lasso-H,positive_incon,5.00,50.00,3.36,0.02,2.92,2.56,0.00,14.09,0.09,0.35,1.52,2.56,4.34,11.85,13.58,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
17.00,Lasso-H,intersection_union_distance,5.00,50.00,2.28,0.02,3.45,0.09,0.00,14.09,0.00,0.00,0.03,0.09,4.29,11.85,13.58,2.24,0.02,0.13,0.00,7.03,0.10,2.65,0.02,0.88,0.00
18.00,Lasso,ratio,5.00,50.00,0.98,0.01,0.04,0.99,0.10,1.00,0.71,0.93,0.98,0.99,1.00,1.00,1.00,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
19.00,Lasso,ratio-diff,5.00,50.00,0.01,0.01,0.03,0.01,0.00,0.82,0.00,0.00,0.00,0.01,0.01,0.03,0.17,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
20.00,Lasso,ratio-signed,5.00,50.00,0.98,0.01,0.04,0.99,0.10,1.00,0.71,0.93,0.98,0.99,1.00,1.00,1.00,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
21.00,Lasso,ratio-diff-signed,5.00,50.00,0.01,0.01,0.03,0.01,0.00,0.82,0.00,0.00,0.00,0.01,0.01,0.03,0.17,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
22.00,Lasso,intersection_union_sample,5.00,50.00,0.56,0.01,0.49,0.97,0.00,1.00,0.00,0.00,0.00,0.97,0.99,1.00,1.00,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
23.00,Lasso,intersection_union_all,5.00,50.00,0.34,NA,0.00,0.34,0.34,0.36,0.34,0.34,0.34,0.34,0.35,0.35,0.35,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
24.00,Lasso,negative_incon,5.00,50.00,0.35,0.01,0.73,0.97,-0.50,1.00,-0.50,-0.50,-0.50,0.97,0.99,1.00,1.00,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
25.00,Lasso,positive_incon,5.00,50.00,3.45,0.01,2.82,2.77,0.02,14.10,0.09,0.45,1.72,2.77,4.25,11.69,13.50,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
26.00,Lasso,intersection_union_distance,5.00,50.00,2.27,0.01,3.42,0.05,0.00,14.10,0.00,0.00,0.02,0.05,4.23,11.69,13.50,2.33,0.01,0.14,0.00,7.24,0.06,2.69,0.01,0.88,0.00
27.00,Ridge-H,ratio,5.00,50.00,0.93,0.02,0.09,0.97,0.00,1.00,0.38,0.75,0.93,0.97,0.99,1.00,1.00,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
28.00,Ridge-H,ratio-diff,5.00,50.00,0.04,0.01,0.06,0.02,0.00,1.00,0.00,0.00,0.01,0.02,0.04,0.15,0.45,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
29.00,Ridge-H,ratio-signed,5.00,50.00,0.93,0.02,0.10,0.97,-1.00,1.00,0.33,0.74,0.93,0.97,0.99,1.00,1.00,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
30.00,Ridge-H,ratio-diff-signed,5.00,50.00,0.04,0.01,0.04,0.02,-1.00,1.00,0.00,0.00,0.01,0.02,0.04,0.14,0.39,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
31.00,Ridge-H,intersection_union_sample,5.00,50.00,0.45,0.01,0.46,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.95,0.99,1.00,2.55,0.03,0.14,0.00,10.31,0.20,3.21,0.03,0.82,0.00
