,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
0.00,LinReg,ratio,5.00,50.00,0.87,0.03,0.14,0.94,0.00,1.00,0.10,0.46,0.85,0.94,0.97,1.00,1.00,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
1.00,LinReg,ratio-diff,5.00,50.00,0.08,0.02,0.11,0.03,0.00,1.00,0.00,0.00,0.01,0.03,0.08,0.37,0.81,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
2.00,LinReg,ratio-signed,5.00,50.00,0.86,0.03,0.18,0.94,-1.00,1.00,-0.27,0.41,0.85,0.94,0.97,1.00,1.00,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
3.00,LinReg,ratio-diff-signed,5.00,50.00,0.06,0.02,0.06,0.03,-1.00,1.00,-0.54,0.00,0.01,0.03,0.07,0.30,0.69,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
4.00,LinReg,intersection_union_sample,5.00,50.00,0.45,0.02,0.44,0.38,0.00,1.00,0.00,0.00,0.00,0.38,0.93,0.99,1.00,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
5.00,LinReg,intersection_union_all,5.00,50.00,0.29,NA,0.01,0.29,0.27,0.32,0.28,0.28,0.28,0.29,0.29,0.30,0.31,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
6.00,LinReg,negative_incon,5.00,50.00,0.23,0.02,0.67,0.38,-0.50,1.00,-0.50,-0.50,-0.48,0.38,0.93,0.99,1.00,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
7.00,LinReg,positive_incon,5.00,50.00,0.76,0.00,0.67,0.55,0.00,3.66,0.01,0.05,0.26,0.55,1.11,2.10,2.84,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
8.00,LinReg,intersection_union_distance,5.00,50.00,0.56,0.01,0.75,0.09,0.00,3.66,0.00,0.00,0.03,0.09,1.01,2.07,2.84,0.50,0.00,0.09,0.00,0.39,0.00,0.63,0.00,0.40,0.01
9.00,Lasso-H,ratio,5.00,50.00,0.98,0.02,0.01,0.98,0.89,1.00,0.92,0.94,0.97,0.98,0.99,1.00,1.00,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
10.00,Lasso-H,ratio-diff,5.00,50.00,0.01,0.01,0.00,0.01,0.00,0.06,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
11.00,Lasso-H,ratio-signed,5.00,50.00,0.98,0.02,0.01,0.98,0.89,1.00,0.92,0.94,0.97,0.98,0.99,1.00,1.00,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
12.00,Lasso-H,ratio-diff-signed,5.00,50.00,0.01,0.01,0.00,0.01,0.00,0.06,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
13.00,Lasso-H,intersection_union_sample,5.00,50.00,0.43,0.01,0.49,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.98,1.00,1.00,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
14.00,Lasso-H,intersection_union_all,5.00,50.00,0.29,NA,0.00,0.29,0.28,0.31,0.28,0.29,0.29,0.29,0.29,0.30,0.30,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
15.00,Lasso-H,negative_incon,5.00,50.00,0.16,0.00,0.73,-0.49,-0.50,1.00,-0.50,-0.50,-0.50,-0.49,0.98,1.00,1.00,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
16.00,Lasso-H,positive_incon,5.00,50.00,1.06,0.01,0.85,0.74,0.61,4.79,0.61,0.61,0.62,0.74,0.77,2.76,4.75,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
17.00,Lasso-H,intersection_union_distance,5.00,50.00,0.75,0.01,1.01,0.74,0.00,4.79,0.00,0.00,0.01,0.74,0.76,2.76,4.75,0.69,0.00,0.12,0.00,0.66,0.00,0.81,0.00,-0.01,0.00
